	卖点	label
160	入口细嫩爆汁	1
161	口感软嫩爽滑	1
162	果肉酸甜多汁	1
163	都发霉了	0
164	没有几个鸡爪	0
165	清甜水润	1
166	一般一般一般	0
167	蔫了的折耳根	0
168	VC益生菌	1
169	香浓酥脆	1
170	今天尝尝	0
171	果味清新浓郁	1
172	焕活全身活力	1
173	头有点干	0
174	看见都没食欲	0
175	还是绿色硬的	0
176	总共就两串	0
177	我还买了四斤	0
178	只能丢弃	0
179	回来吃着不脆	0
180	悠享健康生活	1
181	买时候没看清	0
182	入口香甜绵柔	1
183	不够粉糯	0
184	都焉了的	0
185	饱满味微甘	1
186	吃出来的美丽	1
187	都不要买	0
188	没有什么果实	0
189	酸甜平衡	1
190	去皮坏蒜	0
191	色泽鲜亮	1
192	香滑可口	1
193	还有霉斑	0
194	放了两天打开	0
195	充饥解馋佳选	1
196	酥嫩汁甜	1
197	果肉白嫩脆甜	1
198	就坏一个	0
199	有变质的	0
200	一根段了	0
201	脆生生的	0
202	份量少称	0
203	味道寡淡	0
204	果肉鲜美	1
205	只能整盒扔掉	0
206	还没打开看	0
207	脆甜多汁	1
208	色泽翠绿	1
209	皱皱巴巴的	0
210	两个有点坏	0
211	馥郁香甜	1
212	中秋心享团聚	1
213	头子烂了	0
214	味道脆甜浓郁	1
215	第二次看到有	0
216	那小芋头它妈	0
217	你那边学着克	0
218	下次不敢买了	0
219	太大了吧	0
220	但不甜更不脆	0
221	鲜嫩利口	1
222	里面坏处不少	0
223	没什么甜味	0
224	玉米都枯了	0
225	清甜细滑爽口	1
226	甘甜清脆	1
227	就是这个西瓜	0
228	枣香四溢诱人	1
229	有酸味了	0
230	色泽嫩绿鲜亮	1
231	玉米很老	0
232	鲜香诱人	1
233	根本折不动了	0
234	美味可口	1
235	越吃越过瘾	1
236	个头玲珑小巧	1
237	量少太贵	0
238	留住本真茶味	1
239	有一点小	0
240	鲜嫩可口	1
241	核桃还没成熟	0
242	口味甜蜜不腻	1
243	一袋才克	0
244	有点碰坏伤的	0
245	优质乳蛋白	1
246	不如上次的好	0
247	泡过水的	0
248	样子好看	0
249	果肉饱满	1
250	紫米很少	0
251	沙瓤脆甜	1
252	果肉肥厚鲜嫩	1
253	晶莹剔透饱满	1
254	枣香四溢诱人	1
255	啥味道都没有	0
256	脆脆甜甜	1
257	坏是不坏	0
258	肉厚核小味甜	1
259	根本不想处理	0
260	醇享美味	1
261	中间有点烂	0
262	软籽清甜多汁	1
263	新鲜辛辣爽口	1
264	硬梆梆的	0
265	有的老有的嫩	0
266	甜而不腻	1
267	吃的时候	0
268	己经空了	0
269	颗颗饱满	1
270	夏日精选时蔬	1
271	口感清润爽口	1
272	清凉解渴优选	1
273	果很大很新鲜	0
274	口感清甜味美	1
275	很多表面烂的	0
276	有些还没得搞	0
277	软糯无丝香甜	1
278	果肉粉嫩诱人	1
279	咬木塞子一样	0
280	0糖0脂肪	1
281	清脆可口	1
282	还发现了头发	0
283	非转基因大豆	1
284	味道实在太差	0
285	果肉清甜爽口	1
286	浓郁海苔香	1
287	和实物不一样	0
288	煮粥炖汤俱佳	1
289	还凑合吧	0
290	入味醇香	1
291	美味难以抵挡	1
292	我感觉不划算	0
293	垃圾泼妇	0
294	跟李子差不多	0
295	有小根就好了	0
296	什么垃圾东西	0
297	有时候特别好	0
298	剩下只有三两	0
299	色泽鲜亮	1
300	哈密瓜小	0
301	坏果多多	0
302	这些鸡子该死	0
303	鲜嫩芳香诱人	1
304	韭香浓郁	1
305	甘甜清爽	1
306	甚至有苦的	0
307	汁水饱满	1
308	美味邂逅舌尖	1
309	入口顺滑	1
310	叶片新鲜葱绿	1
311	入口柔滑	1
312	多汁少核	1
313	入口甜嫩爆汁	1
314	烂了几个地方	0
315	基本还没熟	0
316	颜色翠绿诱人	1
317	提神神器	1
318	硬的要死	0
319	这是大果	0
320	上火呵护心肝	1
321	挺好吃的	0
322	海苔卷特别湿	0
323	果香回味	1
324	发芽的多	0
325	削吧削吧	0
326	有点烂的味道	0
327	放的没人要了	0
328	汁多甘醇	1
329	营养肉厚细腻	1
330	香甜软糯	1
331	好多都是烂果	0
332	淡水不甜	0
333	脆甜无核	1
334	果肉雪白剔透	1
335	口感爽滑醇香	1
336	低卡轻生活	1
337	鲜甜软糯	1
338	入口绵密	1
339	可能不够老	0
340	口味甜蜜不腻	1
341	吃着还好	0
342	不红不甜难吃	0
343	果瓤水润脆甜	1
344	瓜蒂都干透了	0
345	回味甘甜清爽	1
346	酸甜脆口	1
347	不香不甜	0
348	椰香浓郁	1
349	只有千克	0
350	花瓣饱满厚实	1
351	果肉金黄诱人	1
352	花生都出芽了	0
353	口口流香	1
354	微辣可口多汁	1
355	跑喂猪的一样	0
356	清脆爽口多汁	1
357	好多烂的鳞片	0
358	果肉莹白水嫩	1
359	从枝头到心头	1
360	清甜爽口水润	1
361	新鲜水润多汁	1
362	沙漠种植甘甜	1
363	皮厚仔多	0
364	还咬不动	0
365	里面都是虫子	0
366	芳香可口	1
367	肉粉汁甜	1
368	感觉口感一般	0
369	果味浓甜似蜜	1
370	味清香色浓郁	1
371	香甜爽滑	1
372	有坏掉的雪梨	0
373	鲜嫩清香	1
374	都干掉了	0
375	这次玉米很老	0
376	里面黑心发霉	0
377	香辣耐嚼入味	1
378	坏了大半	0
379	口感清润爽口	1
380	又细又瘪	0
381	小小的小可爱	0
382	坏的还往里放	0
383	果实整齐匀称	1
384	梨是不错	0
385	有的是坏的	0
386	简直无法对比	0
387	新鲜土豆	0
388	鲜香酥脆	1
389	不能贪图便宜	0
390	鲜嫩翠绿	1
391	都摔坏了	0
392	没有榴莲香味	0
393	香甜爆浆	1
394	说好了正负克	0
395	清香扑鼻诱人	1
396	一点也不排便	0
397	叶片新鲜嫩绿	1
398	瓜瓤饱满	1
399	清脆多汁可口	1
400	一斤个个	0
401	果型太差	0
402	甜过初恋	1
403	少装一个	0
404	只是有点花皮	0
405	果形规整圆润	1
406	果型饱满圆润	1
407	清脆爽口多汁	1
408	味道倒是可以	0
409	脆嫩香甜	1
410	接近一半黄叶	0
411	蒸川贝都不行	0
412	唤醒身体活力	1
413	自己感受	0
414	里边有泥	0
415	色香味俱佳	1
416	果香回味	1
417	实物是有籽的	0
418	日期太不好了	0
419	细杆芦笋	0
420	稀脆口感差评	0
421	果肉鲜嫩	1
422	果肉厚实核小	1
423	果肉白嫩脆甜	1
424	清香爽口	1
425	豆味清香	1
426	味道脆甜浓郁	1
427	不是爽甜	0
428	皮薄脆甜	1
429	鲜吃榨汁皆宜	1
430	味道太甜	0
431	以后都不买了	0
432	但是真心难吃	0
433	又多黑点	0
434	地瓜又细又小	0
435	余味香甜悠长	1
436	不好粗糙	0
437	斤两严重不足	0
438	个头之小	0
439	莴笋也太长了	0
440	一共就五个	0
441	莴笋质量太差	0
442	吃不惯的种类	0
443	只有一个好的	0
444	果肉清脆爽口	1
445	丢掉好多	0
446	大部分都坏的	0
447	劲爽气泡体验	1
448	这白菜太小了	0
449	优质乳蛋白	1
450	口感脆香甜美	1
451	硫磺酸都没有	0
452	籽仁饱满	1
453	不知什么原因	0
454	汁多甘醇	1
455	果肉圆润饱满	1
456	汁水充盈	1
457	纵享丝滑	1
458	香甜软糯	1
459	少了整整一斤	0
460	瓤有点苦	0
461	一碰就掉	0
462	是原味就好了	0
463	正好少了	0
464	滴滴醇香	1
465	两个番茄	0
466	味道鲜美香甜	1
467	鲜香麻辣诱人	1
468	果肉饱满多汁	1
469	味清香色浓郁	1
470	果肉白嫩透亮	1
471	型正饱满皮薄	1
472	口感细腻甘甜	1
473	大小极不均匀	0
474	颗粒匀称圆润	1
475	不是很好吃	0
476	鲜香麻辣诱人	1
477	还有两个青的	0
478	入口鲜嫩清香	1
479	水润香甜	1
480	茶味清新四溢	1
481	酸甜脆爽	1
482	闻得到的清香	1
483	瓜子偏小	0
484	果肉清甜软糯	1
485	差了几克	0
486	这也太生了吧	0
487	胡萝卜有断的	0
488	两个都摔过的	0
489	肉质白嫩如玉	1
490	都不知吃什么	0
491	叶形肥壮厚实	1
492	家乡的味道	1
493	只有一斤	0
494	少了两不够称	0
495	精干都干掉了	0
496	香辣入味爽口	1
497	半袋的水	0
498	入口香甜绵密	1
499	不过分量还足	0
500	烘焙好帮手	1
501	皮薄肉厚多汁	1
502	里面两条虫	0
503	肉厚肥美香甜	1
504	蔗香浓郁甜蜜	1
505	鲜嫩芳香诱人	1
506	鲜香酥脆	1
507	别家元颗	0
508	入口清香甜蜜	1
509	好多烂了	0
510	清香爽口	1
511	白皮黄肉	0
512	内部坏的	0
513	色泽翠绿诱人	1
514	咸的得难下口	0
515	都是渣子	0
516	颗粒匀称圆润	1
517	颗粒饱满	1
518	籽也不黑	0
519	回甘不涩口	1
520	微辣可口多汁	1
521	啥味道也没有	0
522	鲜甜当季粗粮	1
523	口感绵长润喉	1
524	口感薄脆过瘾	1
525	又不好吃	0
526	精细研磨	1
527	买了两扎	0
528	汁水充沛	1
529	爽口脆甜无渣	1
530	啃不动啊	0
531	口感香醇	1
532	个头均匀饱满	1
533	果肉排列整齐	1
534	有个撞伤烂了	0
535	香甜多汁	1
536	清香诱人	1
537	根本不是酸奶	0
538	味道涩的	0
539	果肉金黄鲜亮	1
540	花生好多烂的	0
541	也不脆也不甜	0
542	桃香扑鼻	1
543	代餐优质麦片	1
544	满足挑剔味蕾	1
545	钱白花了	0
546	清鲜脆嫩	1
547	全部烂的	0
548	蛋白Q弹爽滑	1
549	你一个给我差	0
550	回味醇厚温和	1
551	瓜子仁空	0
552	口感清润爽口	1
553	得放放才能吃	0
554	全压烂了	0
555	口感绵柔顺滑	1
556	药店超市两块	0
557	合着元粒	0
558	适合炖汤	0
559	不是纯牛奶	0
560	清香四溢	1
561	半斤只有二两	0
562	还特别小	0
563	粗糙难看	0
564	营养脆甜	1
565	一点汽都没有	0
566	太难捡了	0
567	酸甜好口感	1
568	都掐不动	0
569	太多沙了	0
570	两斤半都没有	0
571	泥巴重过芋头	0
572	鲜嫩脆爽	1
573	果肉完整饱满	1
574	价格没得说	0
575	脆甜多汁	1
576	浓郁好味道	1
577	不好吃挺老的	0
578	超辣超好吃	1
579	烂果还是没有	0
580	皮色翠绿诱人	1
581	拿回来的是两	0
582	应该是去年的	0
583	西瓜刚取回来	0
584	一直不送	0
585	香辣耐嚼入味	1
586	新鲜深紫色皮	1
587	都腐烂了还卖	0
588	香甜松软	1
589	鲜香脆嫩多汁	1
590	不象铁根山药	0
591	绵润酸甜	1
592	饱满多汁	1
593	很多都发芽	0
594	清香脆嫩美味	1
595	口味纯正香浓	1
596	富含膳食纤维	1
597	好多不成熟的	0
598	莲藕到处碰伤	0
599	感觉不是晴王	0
600	好味道好原料	1
601	口感辛香味足	1
602	脆甜爽口甘甜	1
603	清香诱人	1
604	低脂低卡	1
605	低卡轻生活	1
606	颗粒又小	0
607	汁多甘醇	1
608	鲜香酥脆	1
609	黄色难吃	0
610	微辣可口多汁	1
611	熟的清香脆甜	0
612	茶味清新四溢	1
613	又小又脏	0
614	酸甜可口	1
615	比老玉米还老	0
616	核小肉厚	1
617	只能煮着吃	0
618	也不是软籽	0
619	也没一个说法	0
620	嫩滑香甜	1
621	口感香甜清脆	1
622	全是绿的	0
623	又硬又没味道	0
624	个大饱满肥厚	1
625	香甜不粘牙	1
626	一个都没法吃	0
627	清甜香浓	1
628	不适合孕妇吃	0
629	口感绵长润喉	1
630	口感鲜嫩软滑	1
631	呲牙咧嘴	0
632	自然鲜果风味	1
633	有一股霉味道	0
634	桃香浓郁	1
635	皮厚的的不行	0
636	爆甜多汁	1
637	这次的不咋好	0
638	重量不足斤	0
639	买过好几次了	0
640	口感香甜可口	1
641	新鲜爽脆	1
642	又不新鲜又酸	0
643	害我跑来跑去	0
644	果肉清甜爽口	1
645	水分也一般	0
646	而且还有点老	0
647	吃剩一个	0
648	团长直接退了	0
649	脆爽鲜嫩	1
650	醇香浓厚入味	1
651	结果是很小的	0
652	这次的不新鲜	0
653	茶香幽雅	1
654	价格到是便宜	0
655	中间有空心的	0
656	美味难以抵挡	1
657	退不了啦	0
658	去年的吧	0
659	哪有大的	0
660	一袋差克	0
661	掰了不少片	0
662	这次的相当差	0
663	提味增鲜去腥	1
664	平淡无味	0
665	真材实料	1
666	清香脆嫩	1
667	花香浓郁诱人	1
668	都是拉水	0
669	酸劲儿大	0
670	好状态常在线	1
671	骗人的鬼	0
672	一层薄薄的	0
673	新鲜脆嫩	1
674	绿色生态健康	1
675	失水过多	0
676	没什么爪	0
677	烂的不少	0
678	外面有点坏了	0
679	果味浓甜似蜜	1
680	果肉鲜红多汁	1
681	鲜滑利口	1
682	色泽魅蓝诱人	1
683	口感清甜芳香	1
684	烂了一半	0
685	果肉饱满多汁	1
686	难吃到吐的瓜	0
687	椰香满满	1
688	晚上拿回去	0
689	酸甜爽口	1
690	像是死瓤子瓜	0
691	有一个有点老	0
692	顺滑绵密	1
693	梨子肉硬	0
694	果形圆润饱满	1
695	软糯绵韧	1
696	以变质的东西	0
697	又被坑了	0
698	皮薄脆甜	1
699	称不足差一斤	0
700	缺了两个	0
701	花生还有点嫩	0
702	果肉脆沙爽口	1
703	三坨小肉	0
704	香脆美味	1
705	回味清甜悠长	1
706	爆甜可口	1
707	体验不是很好	0
708	壞的太多	0
709	弹韧劲道	1
710	临时有事	0
711	又削一次	0
712	驱寒暖胃	1
713	只有一个西柚	0
714	一斤的就是克	0
715	果香四溢	1
716	个就一个大的	0
717	鲜甜水润	1
718	吃了半个	0
719	买了三次莲藕	0
720	甘润心田	1
721	很小米粒	0
722	享受醇香滋味	1
723	按价赔了款	0
724	酸甜刚刚好	1
725	色泽红润诱人	1
726	果香幽雅醇厚	1
727	爽滑不腻	1
728	色泽鲜艳	1
729	这个不是难吃	0
730	口感绵柔顺滑	1
731	果香清淡怡人	1
732	果肉白嫩透亮	1
733	速溶便捷	1
734	皮都是绿色的	0
735	花生泥巴太多	0
736	入口清香酥脆	1
737	品质好色泽润	1
738	果肉白嫩脆甜	1
739	皮太干了	0
740	没法好评	0
741	劲爽气泡体验	1
742	香甜不腻口	1
743	色泽洁白光亮	1
744	还得自己做卤	0
745	脆甜多汁	1
746	爽脆鲜嫩	1
747	里面的籽黑的	0
748	入口香甜绵柔	1
749	不怎么足称	0
750	无敌小个	0
751	越来越好差劲	0
752	鲜嫩脆爽清香	1
753	闻着也不新鲜	0
754	畅饮酷爽滋味	1
755	丰盈多汁	1
756	小酌微醺	1
757	小的让人无语	0
758	看起来不错哟	0
759	软糯香滑	1
760	果香回味	1
761	结果煮了一锅	0
762	嫩绿鲜亮	1
763	泡饮好搭档	1
764	还不知道口感	0
765	果软就不好吃	0
766	酥脆可口	1
767	又小极了	0
768	新鲜软糯	1
769	弹嫩又鲜香	1
770	营养好搭配	1
771	吃了没啥效果	0
772	香甜脆嫩	1
773	但是价格优惠	0
774	越软越甜	1
775	瓜皮薄水分足	1
776	嫩的啥味没有	0
777	烂了四五个果	0
778	好吃而不腻	1
779	这不是早酥梨	0
780	色泽翠绿油亮	1
781	鲜嫩清香	1
782	瓜肉脆甜爽口	1
783	回味甘甜清爽	1
784	清凉解渴优选	1
785	绵软柔滑	1
786	无糖无硫	1
787	清香扑鼻	1
788	芋头没上次好	0
789	果核小果肉多	1
790	口感绵柔顺滑	1
791	瓜是歪的	0
792	清甜细滑爽口	1
793	蒜肉白润光泽	1
794	不是六鳌蜜薯	0
795	坏的流水	0
796	极大的差评	0
797	脆甜爽口	1
798	颗粒均匀饱满	1
799	价格不贵不说	0
800	真实果粒	1
801	鲜香脆嫩多汁	1
802	就熔烂了	0
803	一部分吃不了	0
804	爆汁爽口	1
805	开怀畅饮	1
806	而且很多小果	0
807	份量不足	0
808	打开是坏的	0
809	口感清甜脆嫩	1
810	榴莲差得很	0
811	清新不甜腻	1
812	清热解暑	1
813	果形饱满均匀	1
814	脆甜美味	1
815	皮黑黑的	0
816	变味儿了	0
817	打开烂了	0
818	还没食用	0
819	除了烂了	0
820	酥脆多汁	1
821	坏得有点多	0
822	营养又扛饿	1
823	洁白光滑透亮	1
824	耽误时间事情	0
825	也是服气	0
826	新鲜脆嫩多汁	1
827	茶味清新四溢	1
828	用克充数	0
829	口感不适合我	0
830	不是扁葱	0
831	买十几块钱	0
832	口感一般般	0
833	甜糯沙瓤	1
834	说的是一千克	0
835	甘甜多汁	1
836	不够新鲜不说	0
837	散发诱人果香	1
838	其它都挺好	0
839	只有两块果肉	0
840	果核小果肉多	1
841	果肉清甜爽口	1
842	看着不新鲜了	0
843	生包榴莲	0
844	鲜香不油腻	1
845	买了四箱	0
846	颗粒饱满	1
847	果粒匀称饱满	1
848	清脆香甜	0
849	水分都蒸发了	0
850	粗粮健康美味	1
851	口感香甜脆嫩	1
852	给的却是这种	0
853	都是光杆	0
854	没熟一点不甜	0
855	酒色透亮清澈	1
856	或者是漏了气	0
857	一直在买	0
858	一个好吃	0
859	果肉嫩滑多汁	1
860	老玉儿有点多	0
861	很硬的果	0
862	这石榴可真大	0
863	上次特别的好	0
864	香甜软滑	1
865	更像是种根	0
866	真心一般	0
867	浓缩好味道	1
868	甘甜如蜜	1
869	而且剥不开	0
870	肉质太粗	0
871	所以就比较臭	0
872	清热祛湿	1
873	气泡感十足	1
874	一颗星都不配	0
875	评价给的一般	0
876	拆耳根不新鲜	0
877	两盒一盒还行	0
878	买回来特别老	0
879	盒子也是坏的	0
880	心都烂了	0
881	味道香脆甘甜	1
882	很是无语	0
883	粒大饱满	1
884	畅享甘醇水润	1
885	淡淡清香四溢	1
886	七零八散	0
887	酸甜可口	1
888	顺滑甘醇	1
889	还不够称	0
890	青的淡而无味	0
891	有点看法	0
892	头部都发霉了	0
893	也没退回来	0
894	丝滑香醇	1
895	一个一斤半	0
896	色泽红润鲜亮	1
897	果形饱满均匀	1
898	就两房肉	0
899	买了那么多次	0
900	清香馥郁	1
901	颗颗水润新鲜	1
902	冰凉畅爽	1
903	西梅青的	0
904	绵软蛋黄香	1
905	买的三根	0
906	口感脆嫩水润	1
907	个大饱满圆润	1
908	豆角又老又干	0
909	有点干黑	0
910	没有见到实物	0
911	泥多个小	0
912	最失望的一次	0
913	忒绿得放几天	0
914	要求补偿	0
915	一个不熟	0
916	嫩滑多汁	1
917	只收到包	0
918	果形圆润饱满	1
919	哪还可以吃啊	0
920	清香嫩滑	1
921	粉糯香甜	1
922	还很难吃	0
923	一个比一个硬	0
924	果肉鲜美	1
925	香甜有嚼劲	1
926	当天可以吃完	0
927	扔一大半	0
928	第一次美团买	0
929	细腻慢发酵	1
930	才下单的	0
931	没鸡爪的	0
932	清香扑鼻诱人	1
933	个梨子烂了个	0
934	有个坏果	0
935	吃个热闹	0
936	酒液澄澈无杂	1
937	保留新鲜奶味	1
938	咬一口嘎嘣脆	1
939	清凉解渴优选	1
940	桃子不脆	0
941	清甜解油腻	1
942	西红柿都烂了	0
943	果肉嫩而甜	1
944	还阔以啦	0
945	口感香醇	1
946	外部干瘪	0
947	色泽青翠自然	1
948	汁水充沛	1
949	鲜嫩辛辣	1
950	鲜嫩脆爽	1
951	烹饪百搭	1
952	就只土豆	0
953	爽滑过瘾	1
954	口感脆甜细嫩	1
955	丢掉酸啦	0
956	甘甜清爽	1
957	枣味浓浓	1
958	果味浓甜似蜜	1
959	不够粉甜	0
960	原汁原味原香	1
961	栗香浓郁细腻	1
962	也不是太新鲜	0
963	蕉型饱满	1
964	皮薄脆嫩	1
965	雪梨送货不行	0
966	酸的不能入口	0
967	色素味太重了	0
968	营养不流失	1
969	标签都被撕了	0
970	才七个杨梅	0
971	畅快味蕾享受	1
972	解馋无负担	1
973	素食者常备	1
974	梨也好硬	0
975	饮用畅爽十足	1
976	酥香可口	1
977	柴的厉害	0
978	带丝不好吃	0
979	美味享不停	1
980	果味浓郁芬芳	1
981	口味只有一种	0
982	那两个太小	0
983	脆甜好吃	1
984	超难吃的	0
985	酸甜爽口	1
986	感觉时间长了	0
987	没有香瓜味	0
988	低糖低热量	1
989	牙都艮流血了	0
990	浓浓海鲜味	1
991	粉糯香甜可口	1
992	重量有点不足	0
993	老了全是老精	0
994	酥脆好滋味	1
995	一点都不黏稠	0
996	觉得不错	0
997	没有弹性	0
998	鲜甜爽口不腻	1
999	清香脆嫩	1
1000	果肉白嫩透亮	1
1001	乐享美味	1
1002	拍了三份	0
1003	豆肉清香肥嫩	1
1004	色正味美	1
1005	鲜嫩爽口	1
1006	还没拆包	0
1007	果肉洁白	1
1008	口味清甜美味	1
1009	胡罗卜啃坏了	0
1010	里面还生根了	0
1011	圆润饱满	1
1012	烂的还特别多	0
1013	解馋好物	1
1014	不好好吃	0
1015	沙甜软糯	1
1016	果肉粉嫩诱人	1
1017	宝宝即食营养	1
1018	果味清新浓郁	1
1019	小个和中个多	0
1020	还没水分	0
1021	雪梨烂了	0
1022	口感鲜嫩多汁	1
1023	也没有桃子味	0
1024	没甜味不好吃	0
1025	软糯甘甜	1
1026	有些是烂的	0
1027	这哪是治便秘	0
1028	不太新解	0
1029	无法写评价	0
1030	下大雨未去提	0
1031	色泽通透诱人	1
1032	质地细腻	1
1033	粉糯鲜香	1
1034	这次的比较老	0
1035	酥脆香甜爆汁	1
1036	果形饱满	1
1037	口感纯正浓厚	1
1038	传世清饮	1
1039	还有两个坏果	0
1040	清甜水润回味	1
1041	像海棠果	0
1042	一烂一伤	0
1043	拳头大小	0
1044	又泥又水儿	0
1045	零蔗糖木糖醇	1
1046	果然看运气	0
1047	买回来不能吃	0
1048	老了很不嫩	0
1049	冰爽脆甜多汁	1
1050	水分流失严重	0
1051	没货干嘛上架	0
1052	我只能呵呵了	0
1053	清甜酥脆	1
1054	一点甜味没有	0
1055	香味浓郁诱人	1
1056	清凉一夏	1
1057	回味清甜	1
1058	清新果味酒香	1
1059	果香芬芳	1
1060	清咽去火口臭	1
1061	轻体低脂肪	1
1062	营养不流失	1
1063	绵软细滑	1
1064	清甜不腻	1
1065	口感清甜软糯	1
1066	口感清甜脆嫩	1
1067	清香美味可口	1
1068	微辣可口多汁	1
1069	酥脆可口	1
1070	虽然正负有克	0
1071	果粒饱满	1
1072	不知道哪去了	0
1073	烂了十多个	0
1074	梨子是坏的	0
1075	润肺止咳	1
1076	反正就是难吃	0
1077	浓郁香醇回味	1
1078	好多发黄	0
1079	鸡爪全是零碎	0
1080	新鲜脆嫩	1
1081	圆润饱满	1
1082	鲜嫩爽口多汁	1
1083	性价比太差了	0
1084	生津润肺	1
1085	还没我拳头大	0
1086	煮粥炖汤俱佳	1
1087	个头太大	0
1088	汁多味美脆甜	1
1089	绵软丝滑	1
1090	软糯易消化	1
1091	枣香四溢诱人	1
1092	特别难嚼	0
1093	有两个都坏了	0
1094	浓醇好滋味	1
1095	煲剧解馋小食	1
1096	又一截一截的	0
1097	号买的蒜	0
1098	一个太小	0
1099	新鲜水润	1
1100	肉质细腻柔软	1
1101	都是丝丝	0
1102	全部是隔夜菜	0
1103	酸甜诱人	1
1104	肉也不香	0
1105	香辣鲜香	1
1106	没给配送	0
1107	香甜软嫩	1
1108	入口酥脆鲜香	1
1109	打开生包	0
1110	我要来欣赏嘛	0
1111	外表不错	0
1112	果肉晶莹剔透	1
1113	剩下的很难吃	0
1114	太小的个头了	0
1115	吃了坏的很多	0
1116	明天吃完再评	0
1117	严重份量不足	0
1118	口感软糯汁多	1
1119	老的部分多	0
1120	脆嫩爽口	1
1121	五个坏了一个	0
1122	金玉其外	0
1123	有一些坏了的	0
1124	西瓜外面腐烂	0
1125	酒香馥郁芳香	1
1126	果肉鲜甜软糯	1
1127	味道香脆甘甜	1
1128	说好的小号呢	0
1129	果皮带有青色	0
1130	玉米都流水了	0
1131	玉米剥开不好	0
1132	那更没啥肉的	0
1133	烂朝朝的	0
1134	皮薄肉厚多汁	1
1135	还要給好评吗	0
